iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  11,  2.556484740,  4586936643,  177991631
2,  1,  11,  2.554429937,  4586105720,  177046128
3,  1,  11,  2.553511746,  4589463092,  179569716
4,  1,  11,  2.353949446,  4586166400,  175852262
5,  1,  11,  2.553785446,  4584273311,  178728429
6,  1,  11,  2.353795817,  4589037979,  180203117
7,  1,  11,  2.554336409,  4585775516,  173646733
8,  1,  11,  2.353795976,  4590641037,  177896633
9,  1,  11,  2.554241998,  4585009693,  178364417
10,  1,  11,  2.353567559,  4585730479,  178054259
