iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  15,  2.552911990,  4285501018,  190851793
2,  1,  15,  2.553212866,  4292605310,  184310047
3,  1,  15,  2.352894590,  4290502979,  187049666
4,  1,  15,  2.554317785,  4291833112,  189204100
5,  1,  15,  2.354033607,  4295300745,  184654381
6,  1,  15,  2.554179518,  4293750911,  182009410
7,  1,  15,  2.554055793,  4292077082,  182397830
8,  1,  15,  2.554525734,  4287638163,  183291112
9,  1,  15,  2.554644160,  4291025896,  184902763
10,  1,  15,  2.353321201,  4293958328,  184011378
