iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1000,  10,  20.361334997,  1398620730,  427613282
2,  fast1000,  10,  19.762292118,  1390955641,  378617659
3,  fast1000,  10,  19.561660815,  1426932351,  387934082
4,  fast1000,  10,  20.561490295,  1400722642,  427647398
5,  fast1000,  10,  19.562065435,  1375050284,  339460305
6,  fast1000,  10,  20.162737427,  1437880696,  391313612
7,  fast1000,  10,  19.943074430,  1404516550,  426240506
8,  fast1000,  10,  20.760735076,  1379266205,  367775003
9,  fast1000,  10,  18.762649273,  1418364408,  414748252
10,  fast1000,  10,  19.360609510,  1384529296,  380349043
