iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1000,  5,  16.957325281,  790552887,  333397085
2,  fast1000,  5,  15.754015841,  752438338,  293238691
3,  fast1000,  5,  16.158713308,  794973235,  294189204
4,  fast1000,  5,  16.159853163,  773690426,  294408852
5,  fast1000,  5,  16.162210234,  731913227,  284740531
6,  fast1000,  5,  16.360518752,  769903287,  297044557
7,  fast1000,  5,  16.561095699,  761947265,  295008418
8,  fast1000,  5,  16.761209410,  771816152,  291342269
9,  fast1000,  5,  16.561094646,  786945211,  306978446
10,  fast1000,  5,  15.160401420,  778834389,  308292211
