iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  10,  50.371521670,  3358722959,  848285495
2,  fast,  10,  45.972699737,  3343013838,  771024856
3,  fast,  10,  45.774160393,  3269930749,  709988986
4,  fast,  10,  47.374875681,  3403448742,  740800826
5,  fast,  10,  44.972319861,  3356435773,  829801705
6,  fast,  10,  43.972495261,  3342576096,  751753748
7,  fast,  10,  48.373754223,  3258483208,  742889723
8,  fast,  10,  48.573107486,  3377140927,  853989158
9,  fast,  10,  47.573308266,  3331497415,  732847285
10,  fast,  10,  46.572595090,  3299776634,  725778937
