iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1500,  15,  16.758955661,  1403405859,  406288829
2,  fast1500,  15,  15.960530036,  1451684491,  383440105
3,  fast1500,  15,  16.760293246,  1398808933,  363251758
4,  fast1500,  15,  16.561399403,  1366797935,  377336947
5,  fast1500,  15,  16.760468753,  1365008232,  412028514
6,  fast1500,  15,  16.360525861,  1396376092,  403540296
7,  fast1500,  15,  17.760183344,  1369929779,  381599157
8,  fast1500,  15,  16.959592263,  1424277093,  413354728
9,  fast1500,  15,  15.759919546,  1444512455,  401863044
10,  fast1500,  15,  16.959849892,  1404320353,  367393237
