iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1000,  9,  20.560212620,  1289709170,  406267919
2,  fast1000,  9,  18.760461641,  1248952417,  359436834
3,  fast1000,  9,  19.561058697,  1275225019,  395322571
4,  fast1000,  9,  20.163119035,  1290860590,  355546444
5,  fast1000,  9,  20.762375052,  1289922751,  413833305
6,  fast1000,  9,  19.761765314,  1274543605,  385420303
7,  fast1000,  9,  20.762911199,  1256056533,  410148014
8,  fast1000,  9,  20.160980628,  1294140720,  372021493
9,  fast1000,  9,  19.559976310,  1265336982,  385296109
10,  fast1000,  9,  19.362816571,  1266592480,  373883739
