iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  3,  4.352124290,  4761204338,  160200311
2,  1,  3,  4.354094639,  4772837781,  161352020
3,  1,  3,  4.354049226,  4775285648,  161766391
4,  1,  3,  4.355109233,  4779801073,  161720788
5,  1,  3,  4.354981965,  4777170608,  161854726
6,  1,  3,  4.354127774,  4774469616,  161711306
7,  1,  3,  4.353706351,  4774092443,  161661342
8,  1,  3,  4.355107961,  4775289310,  161606516
9,  1,  3,  4.354742842,  4774612487,  162212459
10,  1,  3,  4.355744330,  4777590469,  161702910
