iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  1,  11.379446500,  4713145886,  153869300
2,  1,  1,  11.378452829,  4712545003,  153891868
3,  1,  1,  11.377408302,  4714233970,  153883995
4,  1,  1,  11.382124248,  4707794469,  153888724
5,  1,  1,  11.385602675,  4710686961,  153884507
6,  1,  1,  11.377183436,  4716583176,  153892184
7,  1,  1,  11.379607634,  4714080625,  153890068
8,  1,  1,  11.376333439,  4713493373,  153889795
9,  1,  1,  11.381464307,  4711723445,  153888499
10,  1,  1,  11.385378186,  4714110994,  153887583
