iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1500,  4,  10.756109918,  1806701706,  227691485
2,  fast1500,  4,  11.357974273,  1827245838,  253548254
3,  fast1500,  4,  11.156965102,  1805420810,  231297170
4,  fast1500,  4,  11.157113170,  1796709470,  229721664
5,  fast1500,  4,  11.356846319,  1829013572,  252873859
6,  fast1500,  4,  11.758139916,  1860812251,  256615958
7,  fast1500,  4,  10.958070662,  1798574931,  230702379
8,  fast1500,  4,  10.954936418,  1807211816,  229931617
9,  fast1500,  4,  11.340629983,  1835578440,  232639092
10,  fast1500,  4,  11.157129807,  1862708686,  252897701
