iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  1,  12,  2.752320852,  4538195158,  178355887
2,  1,  12,  2.353929989,  4533676723,  181648919
3,  1,  12,  2.554047206,  4529312906,  183293333
4,  1,  12,  2.554083802,  4528981294,  177283983
5,  1,  12,  2.553306195,  4536248464,  181104689
6,  1,  12,  2.553442240,  4524213376,  180626169
7,  1,  12,  2.553674150,  4525192205,  182730088
8,  1,  12,  2.550754879,  4530174939,  181522314
9,  1,  12,  2.554078402,  4528514139,  178763449
10,  1,  12,  2.553588701,  4532191848,  181855951
