iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1000,  12,  22.163286429,  1654717516,  457325986
2,  fast1000,  12,  22.763127226,  1640200380,  425431122
3,  fast1000,  12,  21.763315990,  1701202730,  461118381
4,  fast1000,  12,  22.765087739,  1591077665,  418803074
5,  fast1000,  12,  22.163225285,  1641459948,  427379223
6,  fast1000,  12,  22.162975112,  1706007383,  460923269
7,  fast1000,  12,  21.762199053,  1631878583,  428684659
8,  fast1000,  12,  22.562971917,  1667463015,  473588845
9,  fast1000,  12,  20.161517021,  1646777728,  415027168
10,  fast1000,  12,  20.162777443,  1665516534,  356179737
