iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  13,  51.572655169,  4315180754,  892814031
2,  fast,  13,  52.975187038,  4348178473,  831038588
3,  fast,  13,  56.373671959,  4215832792,  973667464
4,  fast,  13,  55.977792830,  4254529745,  890993847
5,  fast,  13,  55.972552669,  4266963789,  987751923
6,  fast,  13,  54.772065377,  4264016964,  906266777
7,  fast,  13,  56.975732279,  4306580318,  1015162079
8,  fast,  13,  54.974761032,  4389030070,  1010729274
9,  fast,  13,  55.567168269,  4231669735,  1037842275
10,  fast,  13,  53.976384721,  4291097387,  965444758
