iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  2,  15.759118765,  601793104,  143344100
2,  fast,  2,  16.154938972,  608143825,  143519889
3,  fast,  2,  16.154634481,  636532907,  143436417
4,  fast,  2,  15.755108185,  606132276,  143227390
5,  fast,  2,  15.755457072,  614532404,  143818704
6,  fast,  2,  15.754294483,  651418071,  143411154
7,  fast,  2,  15.754452817,  603611582,  143394823
8,  fast,  2,  15.754770588,  601244394,  143649518
9,  fast,  2,  15.954965349,  634841385,  143540345
10,  fast,  2,  15.755092692,  631712570,  143731271
