iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast,  6,  37.970527375,  1923889217,  554224430
2,  fast,  6,  32.766801757,  1902030727,  455897133
3,  fast,  6,  39.570973323,  1966244696,  638188483
4,  fast,  6,  39.169403416,  1904970623,  541454365
5,  fast,  6,  35.167066612,  2002079037,  607595591
6,  fast,  6,  33.566670136,  1959704577,  535395879
7,  fast,  6,  37.369129299,  1894883286,  548482681
8,  fast,  6,  34.766826524,  1910839083,  461611367
9,  fast,  6,  33.966881108,  1887933844,  469545791
10,  fast,  6,  35.166331745,  1950003094,  542618981
