iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1000,  14,  23.161894733,  1903872184,  467620007
2,  fast1000,  14,  22.161906764,  1961462575,  513668956
3,  fast1000,  14,  24.163343420,  1881668530,  484520151
4,  fast1000,  14,  23.562132790,  1885694193,  483048351
5,  fast1000,  14,  23.362440795,  1928814968,  484104917
6,  fast1000,  14,  21.562753520,  1901576779,  349127613
7,  fast1000,  14,  21.962612063,  1958040132,  516269098
8,  fast1000,  14,  22.761688348,  1936893278,  462030749
9,  fast1000,  14,  24.162718117,  1889060769,  480610372
10,  fast1000,  14,  22.763000041,  1946642263,  514534815
