iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1500,  9,  14.357920969,  910197490,  339319955
2,  fast1500,  9,  14.759926566,  899412398,  330421326
3,  fast1500,  9,  12.758554665,  918454701,  289414807
4,  fast1500,  9,  14.159563156,  898372682,  291600417
5,  fast1500,  9,  13.358963293,  864349290,  285259944
6,  fast1500,  9,  13.960319617,  910901250,  318236940
7,  fast1500,  9,  14.760547445,  906752277,  340575674
8,  fast1500,  9,  14.559365233,  916037784,  299852494
9,  fast1500,  9,  14.560421782,  905399978,  325603426
10,  fast1500,  9,  12.159866610,  905683900,  245013444
