iteration,  mode, cores, time,  L1-dcache-load-misses,  LLC-load-misses
1,  fast1000,  6,  16.358477272,  852571103,  286779351
2,  fast1000,  6,  17.360956311,  859079929,  324090449
3,  fast1000,  6,  15.960858531,  879231110,  318184695
4,  fast1000,  6,  15.359933488,  877816567,  316748183
5,  fast1000,  6,  15.761229278,  868643338,  282261835
6,  fast1000,  6,  15.960303820,  899882372,  317358364
7,  fast1000,  6,  17.561765438,  861881835,  321746153
8,  fast1000,  6,  15.560134837,  887614120,  316155868
9,  fast1000,  6,  16.562221450,  856819686,  284500532
10,  fast1000,  6,  16.161292411,  917146251,  352359109
